bat_landing_to_food,seconds_after_rat_arrival,risk,reward,month,hours_after_sunset,season
16.0,108,1,0,0,1.870833333,0
0.074015603,17,0,1,0,3.100833333,0
4.0,41,0,1,0,3.1075,0
10.0,111,1,0,0,3.126944444,0
15.0,194,1,0,0,3.15,0
24.0,215,1,0,0,3.155833333,0
13.0,253,1,0,0,3.166388889,0
15.0,88,1,0,0,4.684444444,0
6.0,113,0,1,0,4.691388889,0
3.0,121,0,1,0,4.693611111,0
5.0,128,0,1,0,4.695555556,0
6.0,153,0,1,0,4.7025,0
10.0,208,1,0,0,4.717777778,0
1.0,216,1,0,0,4.72,0
2.0,37,1,0,0,8.8725,0
1.0,14,0,1,0,2.868888889,0
2.0,40,1,0,0,2.876111111,0
26.0,68,1,0,0,2.883888889,0
5.0,521,1,0,0,3.009722222,0
15.0,564,1,1,0,3.021666667,0
24.0,607,1,0,0,3.033611111,0
2.0,107,0,1,0,11.26277778,0
2.0,358,0,1,0,11.3325,0
0.049410419,12,0,1,1,6.591111111,0
1.0,14,0,1,1,6.591666667,0
6.0,49,1,0,1,6.601388889,0
3.0,68,0,1,1,6.606666667,0
8.0,84,1,0,1,6.611111111,0
0.010695699,186,0,1,1,6.639444444,0
2.0,231,0,1,1,6.651944444,0
1.0,246,0,0,1,6.656111111,0
9.0,253,0,1,1,6.658055556,0
6.0,355,0,1,1,6.686388889,0
11.0,742,0,1,1,11.1975,0
2.0,115,0,1,1,9.108333333,0
3.0,195,1,0,1,2.522777778,0
1.0,168,0,1,1,5.168333333,0
1.0,306,1,0,1,11.32222222,0
1.0,9,0,1,1,2.770833333,0
1.0,456,1,0,1,2.895,0
0.035319187,528,1,0,1,2.915,0
1.0,534,1,0,1,2.916666667,0
7.0,545,1,1,1,2.919722222,0
1.0,551,0,1,1,2.921388889,0
0.034803066,569,0,1,1,2.926388889,0
1.0,583,1,0,1,2.930277778,0
1.0,589,0,1,1,2.931944444,0
2.0,627,0,1,1,2.9425,0
1.0,631,0,1,1,2.943611111,0
4.0,642,0,1,1,2.946666667,0
4.0,720,0,1,1,2.968333333,0
3.0,824,1,0,1,2.997222222,0
22.0,225,0,1,1,8.381666667,0
1.0,162,1,0,1,2.813333333,0
2.0,151,1,0,2,8.333055556,0
1.0,17,1,0,2,9.676111111,0
3.0,116,1,0,2,8.713055556,0
4.0,22,1,0,2,7.375277778,0
3.0,96,0,1,2,7.395833333,0
0.089216347,18,0,1,2,7.471944444,0
2.0,56,1,0,2,7.4825,0
0.041390374,65,0,1,2,7.485,0
0.090143902,81,1,0,2,7.489444444,0
20.0,102,0,0,2,7.495277778,0
2.0,149,1,0,2,7.508333333,0
7.0,61,1,0,2,7.386111111,0
21.0,65,1,1,2,7.387222222,0
4.0,68,0,1,2,7.388055556,0
2.0,80,0,1,2,7.391388889,0
1.0,166,1,0,2,1.225277778,0
14.0,299,0,1,2,5.661944444,0
1.0,2,0,1,2,8.554722222,0
6.0,74,1,0,2,8.796944444,0
1.0,80,1,0,2,8.798611111,0
7.0,99,1,0,2,8.803888889,0
4.0,116,1,0,2,8.808611111,0
4.0,200,1,0,2,8.831944444,0
0.035867953,27,1,0,2,10.37444444,0
2.0,184,0,1,2,7.489722222,0
1.0,239,1,0,2,7.505,0
3.0,2,0,1,2,6.767222222,0
1.0,135,1,0,2,6.862222222,0
17.0,2,0,1,2,7.114722222,0
1.0,154,1,0,2,7.156944444,0
1.0,146,1,0,2,10.18444444,0
21.0,211,1,0,2,10.2025,0
9.0,246,0,1,2,10.21222222,0
1.0,77,1,0,2,10.34222222,0
3.0,59,0,1,2,10.435,0
1.0,89,1,0,2,4.659166667,0
2.0,259,1,0,2,4.706388889,0
4.0,470,1,0,2,4.765,0
2.0,187,1,0,2,5.341666667,0
1.0,204,1,0,2,5.346388889,0
2.0,420,1,0,2,5.406388889,0
9.0,434,1,0,2,5.410277778,0
0.061201372,512,1,0,2,5.431944444,0
1.0,518,1,0,2,5.433611111,0
1.0,225,1,0,2,12.09194444,0
0.050105814,54,0,1,2,0.9225,0
1.0,30,0,1,2,2.085833333,0
0.085595674,71,1,0,2,2.097222222,0
6.0,179,1,0,2,1.440277778,0
6.0,201,0,1,2,1.446388889,0
1.0,321,1,0,2,1.479722222,0
3.0,77,1,0,2,1.274722222,0
4.0,3,1,0,2,1.260555556,0
2.0,25,1,0,2,4.860277778,0
16.0,181,1,0,2,4.903611111,0
2.0,201,1,0,2,4.909166667,0
1.0,206,0,1,2,4.910555556,0
0.07570842,250,1,0,2,4.922777778,0
0.057540536,157,0,1,2,7.078055556,0
3.0,6,1,0,2,8.078333333,0
5.0,222,1,0,2,3.771111111,0
1.0,68,1,0,2,4.236666667,0
2.0,75,1,0,2,4.238611111,0
1.0,6,1,0,2,4.368333333,0
4.0,92,1,0,2,4.392222222,0
13.0,137,1,0,2,4.404722222,0
1.0,155,1,0,2,4.409722222,0
2.0,158,0,1,2,4.410555556,0
1.0,224,1,0,2,4.428888889,0
1.0,35,1,0,2,7.1725,0
5.0,7,0,1,2,7.794722222,0
0.04438061,105,1,0,2,8.544444444,0
3.0,132,1,0,2,8.551944444,0
1.0,242,0,1,2,8.5825,0
6.0,269,0,1,2,8.59,0
24.0,286,1,0,2,8.594722222,0
0.097399911,13,0,1,2,2.05,0
2.0,20,1,0,2,3.370555556,0
1.0,35,1,0,2,3.374722222,0
2.0,42,1,0,2,3.376666667,0
0.050211363,139,0,1,2,0.247777778,0
3.0,2,0,1,3,3.795555556,1
2.0,73,0,1,3,3.815277778,1
1.0,105,0,1,3,3.824166667,1
2.0,130,0,1,3,3.831111111,1
4.0,71,0,1,3,5.849444444,1
0.046019395,192,1,0,3,5.883055556,1
9.0,220,0,1,3,5.890833333,1
18.0,239,0,1,3,5.896111111,1
14.0,250,1,0,3,5.899166667,1
2.0,264,1,0,3,5.903055556,1
3.0,265,0,1,3,5.903333333,1
12.0,279,1,0,3,5.907222222,1
15.0,295,0,1,3,5.911666667,1
2.0,426,0,1,3,5.948055556,1
11.0,507,1,0,3,5.970555556,1
0.013008356,29,0,1,3,7.385833333,1
2.0,135,0,1,3,7.415277778,1
2.0,188,1,0,3,7.43,1
0.028276798,329,1,0,3,7.469166667,1
4.0,46,1,1,3,8.347222222,1
2.0,108,0,1,3,9.436944444,1
25.0,517,1,0,3,5.497777778,1
3.0,537,0,1,3,6.976944444,1
0.064154735,572,0,1,3,6.986666667,1
10.0,381,1,0,4,3.06,1
8.0,436,1,0,4,3.075277778,1
2.0,450,0,1,4,3.079166667,1
6.0,455,1,0,4,3.080555556,1
2.0,477,0,0,4,3.086666667,1
0.030293066,558,0,1,4,3.109166667,1
7.0,662,1,0,4,3.138055556,1
6.0,673,1,0,4,3.141111111,1
18.0,668,0,1,4,3.139722222,1
17.0,695,1,0,4,3.147222222,1
1.0,128,0,1,4,4.189444444,1
6.0,381,0,1,4,4.259722222,1
2.0,80,0,1,4,4.708055556,1
1.0,177,0,1,4,4.735,1
11.0,223,1,0,4,4.747777778,1
3.0,234,0,1,4,4.750833333,1
25.0,239,0,1,4,4.752222222,1
6.0,238,1,0,4,4.751944444,1
3.0,262,1,0,4,4.758611111,1
11.0,287,1,0,4,4.765555556,1
15.0,355,0,1,4,4.784444444,1
6.0,360,1,0,4,4.785833333,1
0.069936967,53,0,1,4,6.003888889,1
1.0,82,0,1,4,6.011944444,1
1.0,98,0,1,4,6.016388889,1
4.0,101,0,1,4,6.017222222,1
0.036982956,112,1,0,4,6.020277778,1
1.0,120,1,0,4,6.0225,1
2.0,128,0,1,4,6.024722222,1
4.0,180,0,1,4,6.039166667,1
3.0,232,1,0,4,6.053611111,1
19.0,353,1,0,4,6.087222222,1
3.0,435,0,1,4,6.11,1
6.0,612,0,1,4,6.159166667,1
1.0,708,0,1,4,6.185833333,1
9.0,777,1,0,4,6.205,1
23.0,806,1,0,4,6.213055556,1
3.0,90,0,1,4,2.358611111,1
3.0,376,0,1,4,2.438055556,1
2.0,452,0,1,4,2.459166667,1
2.0,12,0,1,4,4.395833333,1
9.0,31,1,0,4,4.401111111,1
4.0,58,0,1,4,4.408611111,1
5.0,187,1,0,4,4.444444444,1
4.0,197,1,0,4,4.447222222,1
1.0,224,0,1,4,4.454722222,1
3.0,312,0,1,4,4.479166667,1
0.010238211,402,1,0,4,4.504166667,1
2.0,597,0,1,4,4.558333333,1
2.0,949,1,0,4,4.656111111,1
3.0,12,1,0,4,5.788055556,1
4.0,25,0,1,4,5.791666667,1
2.0,97,0,1,4,5.811666667,1
2.0,112,0,1,4,5.815833333,1
4.0,217,0,1,4,5.845,1
1.0,357,1,0,4,5.883888889,1
14.0,418,1,0,4,5.900833333,1
1.0,624,0,1,4,5.958055556,1
6.0,22,1,0,4,2.135833333,1
2.0,29,1,0,4,2.137777778,1
8.0,45,1,1,4,2.142222222,1
5.0,66,1,0,4,2.148055556,1
2.0,76,1,0,4,2.150833333,1
15.0,88,1,0,4,2.154166667,1
4.0,101,1,1,4,2.157777778,1
15.0,16,1,0,4,3.148055556,1
18.0,33,1,1,4,3.152777778,1
3.0,65,0,1,4,3.161666667,1
13.0,81,1,1,4,3.166111111,1
14.0,81,1,1,4,3.166111111,1
10.0,92,1,1,4,3.169166667,1
7.0,126,1,0,4,3.178611111,1
3.0,202,0,1,4,3.199722222,1
1.0,215,0,1,4,3.203333333,1
23.0,274,1,0,4,3.219722222,1
4.0,318,0,1,4,3.231944444,1
5.0,322,1,1,4,3.233055556,1
3.0,326,0,1,4,3.234166667,1
2.0,340,0,1,4,3.238055556,1
3.0,392,0,1,4,3.2525,1
2.0,594,1,0,4,3.308611111,1
2.0,602,1,0,4,3.310833333,1
1.0,613,1,0,4,3.313888889,1
18.0,635,1,1,4,3.32,1
0.028315379,22,0,1,4,3.805,1
6.0,37,1,1,4,3.809166667,1
9.0,46,1,0,4,3.811666667,1
2.0,87,0,1,4,3.823055556,1
8.0,96,0,1,4,3.825555556,1
6.0,110,0,1,4,3.829444444,1
6.0,273,0,1,4,3.874722222,1
0.039556377,283,0,1,4,3.8775,1
7.0,10,1,1,4,5.126111111,1
4.0,65,0,1,4,5.141388889,1
0.02018894,72,1,0,4,5.143333333,1
