start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,time,bat_landing_number,food_availability,rat_minutes,rat_arrival_number
27/04/2018 2:17,0.063771569,rat,27/04/2018 2:10,27/04/2018 2:20,368,1,0,4,26/04/2018 19:17,7.0,1,4/04/2018 2:01,50,2.0,0.0,0
27/04/2018 2:17,0.063771569,rat,27/04/2018 2:10,27/04/2018 2:20,368,1,0,4,26/04/2018 19:17,7.0,1,12/04/2018 2:07,87,2.0,0.0,0
27/04/2018 2:17,0.063771569,rat,27/04/2018 2:10,27/04/2018 2:20,368,1,0,4,26/04/2018 19:17,7.0,1,16/04/2018 2:10,25,2.0,0.0,0
27/04/2018 2:17,0.063771569,rat,27/04/2018 2:10,27/04/2018 2:20,368,1,0,4,26/04/2018 19:17,7.0,1,17/04/2018 2:10,78,2.0,0.0,0
27/04/2018 2:17,0.063771569,rat,27/04/2018 2:10,27/04/2018 2:20,368,1,0,4,26/04/2018 19:17,7.0,1,18/04/2018 2:11,61,2.0,0.0,0
27/04/2018 2:17,0.063771569,rat,27/04/2018 2:10,27/04/2018 2:20,368,1,0,4,26/04/2018 19:17,7.0,1,19/04/2018 2:12,51,2.0,0.583333333,2
27/04/2018 2:17,0.063771569,rat,27/04/2018 2:10,27/04/2018 2:20,368,1,0,4,26/04/2018 19:17,7.0,1,21/04/2018 2:13,69,2.0,11.46666667,2
27/04/2018 2:17,0.063771569,rat,27/04/2018 2:10,27/04/2018 2:20,368,1,0,4,26/04/2018 19:17,7.0,1,22/04/2018 2:14,46,2.0,3.4,1
27/04/2018 2:17,0.063771569,rat,27/04/2018 2:10,27/04/2018 2:20,368,1,0,4,26/04/2018 19:17,7.0,1,26/04/2018 2:17,66,2.0,0.0,0
27/04/2018 2:17,0.063771569,rat,27/04/2018 2:10,27/04/2018 2:20,368,1,0,4,26/04/2018 19:17,7.0,1,29/04/2018 2:19,65,2.0,0.0,0
27/04/2018 2:17,0.063771569,rat,27/04/2018 2:10,27/04/2018 2:20,368,1,0,4,26/04/2018 19:17,7.0,1,30/04/2018 2:19,42,2.0,7.783333333,1
